Chỉ tiêu,2019,2020,2021,2022,2023,2024
1. Phải trả người bán ngắn hạn,7507198913115.0,10915752723952.0,23729142569420.0,11107160795326.0,12387496434147.0,
2. Người mua trả tiền trước ngắn hạn,408691837688.0,1257272765123.0,788002603134.0,860793139245.0,741733890580.0,
3. Thuế và các khoản phải nộp nhà nước,478426384718.0,548579261453.0,796022241121.0,648407591981.0,945404457633.0,
4. Phải trả người lao động,247936926136.0,313099678402.0,816457005628.0,306208839467.0,403391467732.0,
5. Chi phí phải trả ngắn hạn,429777297411.0,640129684182.0,772615123352.0,460508546638.0,477102216071.0,
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,27406111996.0,34564307818.0,16951911160.0,16974936888.0,9979596501.0,
9. Phải trả ngắn hạn khác,237391747239.0,328061400351.0,1047158508079.0,418512269668.0,182970590524.0,
10. Vay và nợ thuê tài chính ngắn hạn,16837653470387.0,36798465672104.0,43747643082356.0,46748670400471.0,54981883180636.0,
11. Dự phòng phải trả ngắn hạn,3111122885.0,5846534626.0,4755735476.0,5198833687.0,8054106025.0,
12. Quỹ khen thưởng phúc lợi,806604376402.0,1133445419487.0,1740567096715.0,1812955327314.0,1375476964884.0,
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,27005195768228.0,20316430635228.0,13996480970369.0,11837189211664.0,13432674419689.0,
1. Phải trả người bán dài hạn,6652492138554.0,2637987658239.0,,,2324285289468.0,
2. Người mua trả tiền trước dài hạn,,,,,,
3. Chi phí phải trả dài hạn,427328992030.0,223664493846.0,410407940262.0,531620146455.0,610552512045.0,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,
6. Doanh thu chưa thực hiện dài hạn,3369818100.0,16127650192.0,8803217550.0,4109316288.0,174647128.0,
7. Phải trả dài hạn khác,58387110781.0,68736086170.0,63027061241.0,61033120562.0,13361520783.0,
8. Vay và nợ thuê tài chính dài hạn,19842099219720.0,17343247551512.0,13464931998700.0,11151651204402.0,10399119292481.0,
9. Trái phiếu chuyển đổi,,,,,,
10. Cổ phiếu ưu đãi,,,,,,
11. Thuế thu nhập hoãn lại phải trả,1104751459.0,666262529.0,,31207164756.0,30012518415.0,
12. Dự phòng phải trả dài hạn,20413737584.0,26000932740.0,49310752616.0,57568259201.0,55168639369.0,
13. Quỹ phát triển khoa học và công nghệ,,,,,,
