Chỉ tiêu,2019,2020,2021,2022,2023,2024
C. NỢ PHẢI TRẢ,132525985000000.0,126196462000000.0,99109060000000.0,213290803941302.0,261994369402201.0,
I. Nợ ngắn hạn,121556854000000.0,103385277000000.0,75400658000000.0,187762382936235.0,211073231462582.0,
1. Phải trả người bán ngắn hạn,6078324000000.0,11401484000000.0,12506633000000.0,15031432235709.0,20452354300621.0,
2. Người mua trả tiền trước ngắn hạn,40245699000000.0,26968735000000.0,8865372000000.0,61962655203750.0,35137333745852.0,
3. Thuế và các khoản phải nộp nhà nước,2095296000000.0,5035067000000.0,3794450000000.0,18321324354830.0,15699413922804.0,
4. Phải trả người lao động,,,,,,
5. Chi phí phải trả ngắn hạn,7839911000000.0,13912784000000.0,16360513000000.0,25088744232110.0,33490727568104.0,
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,465696000000.0,531699000000.0,516444000000.0,514831216247.0,520689453611.0,
9. Phải trả ngắn hạn khác,46669574000000.0,34032822000000.0,31905317000000.0,51461949716636.0,87253594429776.0,
10. Vay và nợ thuê tài chính ngắn hạn,18162354000000.0,10997726000000.0,250820000000.0,15330096634155.0,18289640765297.0,
11. Dự phòng phải trả ngắn hạn,,504960000000.0,1201109000000.0,51349342798.0,229477276517.0,
12. Quỹ khen thưởng phúc lợi,,,,,,
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,10969131000000.0,22811185000000.0,23708402000000.0,25528421005067.0,50921137939619.0,
1. Phải trả người bán dài hạn,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,
3. Chi phí phải trả dài hạn,588885000000.0,1409698000000.0,1638709000000.0,414596795161.0,439725013907.0,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,
6. Doanh thu chưa thực hiện dài hạn,1534550000000.0,3325997000000.0,1251448000000.0,917179537138.0,770862842581.0,
7. Phải trả dài hạn khác,90376000000.0,3537548000000.0,222517000000.0,267920715934.0,7770479955407.0,
8. Vay và nợ thuê tài chính dài hạn,8343025000000.0,13957735000000.0,19667987000000.0,20876301918413.0,38393922632150.0,
9. Trái phiếu chuyển đổi,,,,,,
