Chỉ tiêu,2019,2020,2021,2022,2023,2024
2. Tài sản thuế thu nhập hoãn lại,40251284363.0,139469584405.0,182211531443.0,258005875001.0,360946956414.0,575767686189.0
3. Thiết bị vật tư phụ tùng thay thế dài hạn,,,,,,
4. Tài sản dài hạn khác,,,,,,
5. Lợi thế thương mại,225929415272.0,200034225027.0,465985410327.0,407944847961.0,1283790079129.0,1097458206678.0
TỔNG CỘNG TÀI SẢN,33394164263694.0,41734323235194.0,53697940895875.0,51650403735130.0,60282827532899.0,71999995678620.0
NGUỒN VỐN,,,,,,
C. NỢ PHẢI TRẢ,16594874862688.0,23128655834466.0,32279955665838.0,26294279047318.0,30349816316666.0,36272455573820.0
I. Nợ ngắn hạn,16102256902439.0,22364710509820.0,29761106035257.0,24521161696202.0,29651673556227.0,34836184067740.0
1. Phải trả người bán ngắn hạn,2641797326788.0,2824505552359.0,2865815039581.0,3209205494368.0,2602977290710.0,4423912840298.0
2. Người mua trả tiền trước ngắn hạn,398628905824.0,465157577125.0,710658541296.0,491097603761.0,602010036721.0,562066755666.0
3. Thuế và các khoản phải nộp nhà nước,554461605696.0,645972209996.0,517652708809.0,670648917592.0,1432356605157.0,2298821801748.0
4. Phải trả người lao động,1278884909353.0,1968364078549.0,2926228655285.0,3276698433947.0,3734341060086.0,4341013546853.0
5. Chi phí phải trả ngắn hạn,746853608766.0,762365483261.0,829126223397.0,807640094658.0,848293082410.0,1241089122260.0
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,39251428042.0,64245054184.0,89224688468.0,78663541041.0,78456375540.0,92738882375.0
8. Doanh thu chưa thực hiện ngắn hạn,1827319525947.0,1962878574530.0,2530369295558.0,3200401361855.0,3620205460042.0,4224649366399.0
9. Phải trả ngắn hạn khác,387440116553.0,744816892234.0,555467321694.0,568807386283.0,1015101605957.0,874015837328.0
10. Vay và nợ thuê tài chính ngắn hạn,7513635654008.0,12062410192740.0,17799441187777.0,10904344845014.0,13837894474107.0,14446238451323.0
11. Dự phòng phải trả ngắn hạn,174566812252.0,211596795175.0,112413880560.0,251132995783.0,417401434437.0,496600145127.0
12. Quỹ khen thưởng phúc lợi,539417009210.0,652398099667.0,824708492832.0,1062521021900.0,1462636131060.0,1835037318363.0
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,492617960249.0,763945324646.0,2518849630581.0,1773117351116.0,698142760439.0,1436271506080.0
1. Phải trả người bán dài hạn,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,
3. Chi phí phải trả dài hạn,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,
6. Doanh thu chưa thực hiện dài hạn,42777167223.0,41124555530.0,94843849565.0,114879436367.0,132927038647.0,131344534204.0
7. Phải trả dài hạn khác,92105961472.0,38492884032.0,34908209574.0,28146819108.0,41914135058.0,183788442785.0
8. Vay và nợ thuê tài chính dài hạn,349769099942.0,677796913413.0,2296308493046.0,1477830333990.0,208074996962.0,501115537075.0
9. Trái phiếu chuyển đổi,,,,,,
10. Cổ phiếu ưu đãi,,,,,,
11. Thuế thu nhập hoãn lại phải trả,,258372310.0,87366215294.0,149305200735.0,245716712513.0,356966680614.0
12. Dự phòng phải trả dài hạn,7773635329.0,6080503078.0,5230766819.0,2763464633.0,69317780976.0,262864215119.0
13. Quỹ phát triển khoa học và công nghệ,192096283.0,192096283.0,192096283.0,192096283.0,192096283.0,192096283.0
D.VỐN CHỦ SỞ HỮU,16799289401006.0,18605667400728.0,21417985230037.0,25356124687812.0,29933011216233.0,35727540104800.0
I. Vốn chủ sở hữu,16796539401006.0,18602917400728.0,21415235230037.0,25353374687812.0,29930261216233.0,35724790104800.0
1. Vốn góp của chủ sở hữu,6783586880000.0,7839874860000.0,9075516490000.0,10970265720000.0,12699688750000.0,14710691830000.0
- Cổ phiếu phổ thông có quyền biểu quyết,6783586880000.0,7839874860000.0,9075516490000.0,10970265720000.0,12699688750000.0,14710691830000.0
- Cổ phiếu ưu đãi,,,,,,
2. Thặng dư vốn cổ phần,49941441360.0,49713213411.0,49713213411.0,49713213411.0,49713213411.0,49713213411.0
3. Quyền chọn chuyển đổi trái phiếu,,,,,,
4. Vốn khác của chủ sở hữu,765332464859.0,920081410199.0,1178174776366.0,1179064868147.0,1928602158147.0,1929012703454.0
5. Cổ phiếu quỹ,-823760000,-823760000,-823760000,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,
7. Chênh lệch tỷ giá hối đoái,-7773137062,13496751277.0,-22561932248,-40480690557,-17778502626,-49485560860
8. Quỹ đầu tư phát triển,307526573229.0,442371579941.0,570491625643.0,1086270726048.0,1549850939920.0,2033289141535.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,102985531790.0,87203093024.0,87203093024.0,87203093024.0,87203093024.0,87730484825.0
11. Lợi nhuận sau thuế chưa phân phối,5960676956469.0,6390906128452.0,7000480585004.0,7711681484541.0,8674126708670.0,11030528671431.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,2341050773902.0,3033395026256.0,4103787447601.0,4471895918464.0,5458228109134.0
- LNST chưa phân phối kỳ này,,4049855354550.0,3967085558748.0,3607894036940.0,4202230790206.0,5572300562297.0
12. Nguồn vốn đầu tư XDCB,,,,,,
13. Lợi ích cổ đông không kiểm soát,2835086450361.0,2860094124424.0,3477041138837.0,4309656273198.0,4958854855687.0,5933309621004.0
II. Nguồn kinh phí và quỹ khác,2750000000.0,2750000000.0,2750000000.0,2750000000.0,2750000000.0,2750000000.0
1. Nguồn kinh phí,2750000000.0,2750000000.0,2750000000.0,2750000000.0,2750000000.0,2750000000.0
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,
TỔNG CỘNG NGUỒN VỐN,33394164263694.0,41734323235194.0,53697940895875.0,51650403735130.0,60282827532899.0,71999995678620.0
