Chỉ tiêu,2019,2020,2021,2022,2023,2024
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,2111168658.0,15927234779.0,3983400698.0,4161405120.0,,
9. Phải trả ngắn hạn khác,1956364398828.0,145835054429.0,114417067658.0,3055541590234.0,,
10. Vay và nợ thuê tài chính ngắn hạn,5351461260191.0,7316497078307.0,9382354118118.0,4867129839103.0,,
11. Dự phòng phải trả ngắn hạn,8048885766.0,15278019908.0,10290982323.0,26635759312.0,,
12. Quỹ khen thưởng phúc lợi,633936556611.0,559325621730.0,507365624913.0,402163642465.0,,
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,525766348310.0,572712158332.0,413872193316.0,357722799611.0,,
1. Phải trả người bán dài hạn,427916520.0,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,
3. Chi phí phải trả dài hạn,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,,
7. Phải trả dài hạn khác,27418573520.0,59731299502.0,21900931811.0,3711780002.0,,
8. Vay và nợ thuê tài chính dài hạn,122992982893.0,167421748884.0,75636000000.0,66028725000.0,,
9. Trái phiếu chuyển đổi,,,,,,
10. Cổ phiếu ưu đãi,,,,,,
11. Thuế thu nhập hoãn lại phải trả,374926875377.0,345559109946.0,316335261505.0,287982294609.0,,
12. Dự phòng phải trả dài hạn,,,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,,
D.VỐN CHỦ SỞ HỮU,29731255204364.0,33647122229822.0,35850114249384.0,32816518355085.0,,
I. Vốn chủ sở hữu,29731255204364.0,33647122229822.0,35850114249384.0,32816518355085.0,,
1. Vốn góp của chủ sở hữu,17416877930000.0,20899554450000.0,20899554450000.0,20899554450000.0,,
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,,
- Cổ phiếu ưu đãi,,,,,,
2. Thặng dư vốn cổ phần,,,34110709700.0,34110709700.0,,
3. Quyền chọn chuyển đổi trái phiếu,,,,,,
4. Vốn khác của chủ sở hữu,,202658418215.0,202658418215.0,202658418215.0,,
5. Cổ phiếu quỹ,-11644956120,-11644956120,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,
7. Chênh lệch tỷ giá hối đoái,23174494894.0,10647239612.0,253569601.0,92498048227.0,,
8. Quỹ đầu tư phát triển,2200188373195.0,3286241911090.0,4352441335060.0,5266761584973.0,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,,
11. Lợi nhuận sau thuế chưa phân phối,7875462401924.0,6909725668453.0,7594260378375.0,3353468092666.0,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,3332115615169.0,,5073162045422.0,2682865082625.0,,
- LNST chưa phân phối kỳ này,4543346786755.0,,2521098332953.0,670603010041.0,,
12. Nguồn vốn đầu tư XDCB,,,,,,
13. Lợi ích cổ đông không kiểm soát,2227196960471.0,2349939498572.0,2766835388433.0,2967467051304.0,,
II. Nguồn kinh phí và quỹ khác,,,,,,
1. Nguồn kinh phí,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,
TỔNG CỘNG NGUỒN VỐN,44699873386034.0,48432480673629.0,53332403438219.0,48482664236220.0,,
