Chỉ tiêu,2019,2020,2021,2022,2023,2024
5. Chi phí phải trả ngắn hạn,199458207378.0,248064382055.0,394655029077.0,570075928992.0,434193834040.0,
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,105386458162.0,107779102171.0,137920931670.0,191372449669.0,191694524921.0,
9. Phải trả ngắn hạn khác,94888807825.0,38601092268.0,80866708267.0,86694213159.0,116928061727.0,
10. Vay và nợ thuê tài chính ngắn hạn,444333244559.0,605801436979.0,746981326931.0,882151399256.0,899409668650.0,
11. Dự phòng phải trả ngắn hạn,3193909521.0,6663679247.0,8495346242.0,9466490946.0,4401073143.0,
12. Quỹ khen thưởng phúc lợi,12382424625.0,16545744499.0,33372663368.0,19673977913.0,33643673001.0,
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,733168542462.0,691981250759.0,970410105751.0,508084191031.0,735194186090.0,
1. Phải trả người bán dài hạn,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,
3. Chi phí phải trả dài hạn,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,
6. Doanh thu chưa thực hiện dài hạn,30888343257.0,33648564976.0,16779512272.0,32579479843.0,32383322687.0,
7. Phải trả dài hạn khác,6879998177.0,41802789054.0,8011342353.0,2421157655.0,4655319289.0,
8. Vay và nợ thuê tài chính dài hạn,672419097400.0,593127016297.0,895365593330.0,442881363105.0,667033109046.0,
9. Trái phiếu chuyển đổi,,,,,,
10. Cổ phiếu ưu đãi,,,,,,
11. Thuế thu nhập hoãn lại phải trả,1531255285.0,1473258945.0,28044762113.0,27488851112.0,26845945601.0,
12. Dự phòng phải trả dài hạn,,,,,,
13. Quỹ phát triển khoa học và công nghệ,21449848343.0,21929621487.0,22208895683.0,2713339316.0,4276489467.0,
D.VỐN CHỦ SỞ HỮU,2252402775744.0,2323023465947.0,2689874436917.0,3122742548230.0,3344147915246.0,
I. Vốn chủ sở hữu,2252402775744.0,2323023465947.0,2689874436917.0,3122742548230.0,3344147915246.0,
1. Vốn góp của chủ sở hữu,999998660000.0,999998660000.0,1089988830000.0,1505960320000.0,1900269960000.0,
- Cổ phiếu phổ thông có quyền biểu quyết,999998660000.0,999998660000.0,1089988830000.0,1505960320000.0,1900269960000.0,
- Cổ phiếu ưu đãi,,,,,,
2. Thặng dư vốn cổ phần,599555780400.0,599555780400.0,599555780400.0,331216950400.0,27062540400.0,
3. Quyền chọn chuyển đổi trái phiếu,,,,,,
4. Vốn khác của chủ sở hữu,134807600821.0,134807600821.0,229833072525.0,328912815733.0,371662664388.0,
5. Cổ phiếu quỹ,,,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,
7. Chênh lệch tỷ giá hối đoái,67172434.0,-811536887,403541476.0,-682489229,-2802521280,
8. Quỹ đầu tư phát triển,,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,,
11. Lợi nhuận sau thuế chưa phân phối,182539470277.0,228338571655.0,244961803601.0,308400731290.0,342109659777.0,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,124329523686.0,153084664511.0,201627094576.0,3134202524.0,11434141375.0,
- LNST chưa phân phối kỳ này,58209946591.0,75253907144.0,43334709025.0,305266528766.0,330675518402.0,
12. Nguồn vốn đầu tư XDCB,,,,,,
13. Lợi ích cổ đông không kiểm soát,335434091812.0,361134389958.0,525131408915.0,648934220036.0,705845611961.0,
II. Nguồn kinh phí và quỹ khác,,,,,,
1. Nguồn kinh phí,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,
TỔNG CỘNG NGUỒN VỐN,4649385394471.0,4983476573882.0,6255925211575.0,6561871141160.0,6853772829898.0,
