Chỉ tiêu,2019,2020,2021,2022,2023,2024
I. Nợ ngắn hạn,30492191000000.0,38874663000000.0,34547836000000.0,65320877000000.0,50422500000000.0,
1. Phải trả người bán ngắn hạn,5635395000000.0,6832649000000.0,7970287000000.0,7489371000000.0,6317999000000.0,
2. Người mua trả tiền trước ngắn hạn,1178905000000.0,1074932000000.0,168183000000.0,566330000000.0,861932000000.0,
3. Thuế và các khoản phải nộp nhà nước,770004000000.0,941302000000.0,801899000000.0,536310000000.0,1103204000000.0,
4. Phải trả người lao động,291683000000.0,239074000000.0,222205000000.0,248365000000.0,264300000000.0,
5. Chi phí phải trả ngắn hạn,4110502000000.0,4705417000000.0,4996691000000.0,4184351000000.0,4819044000000.0,
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,12050000000.0,20706000000.0,14532000000.0,15691000000.0,67059000000.0,
9. Phải trả ngắn hạn khác,122557000000.0,2472126000000.0,1513366000000.0,11671935000000.0,8919791000000.0,
10. Vay và nợ thuê tài chính ngắn hạn,18340185000000.0,22545046000000.0,18805727000000.0,40567379000000.0,28030197000000.0,
11. Dự phòng phải trả ngắn hạn,,6517000000.0,19101000000.0,9997000000.0,7826000000.0,
12. Quỹ khen thưởng phúc lợi,30910000000.0,36894000000.0,35845000000.0,31148000000.0,31148000000.0,
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,14916653000000.0,51831620000000.0,49208983000000.0,39385199000000.0,58723731000000.0,
1. Phải trả người bán dài hạn,31013000000.0,27668000000.0,25014000000.0,24324000000.0,19289000000.0,
2. Người mua trả tiền trước dài hạn,,,,,,
3. Chi phí phải trả dài hạn,,,,,31186000000.0,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,,
7. Phải trả dài hạn khác,180939000000.0,180397000000.0,227575000000.0,752378000000.0,8199245000000.0,
8. Vay và nợ thuê tài chính dài hạn,11675842000000.0,39466043000000.0,39371918000000.0,30425625000000.0,41541894000000.0,
9. Trái phiếu chuyển đổi,,,,,,
10. Cổ phiếu ưu đãi,,,,,,
11. Thuế thu nhập hoãn lại phải trả,2455415000000.0,4651174000000.0,3215395000000.0,3541671000000.0,3406398000000.0,
12. Dự phòng phải trả dài hạn,573444000000.0,7506338000000.0,6369081000000.0,4641201000000.0,5525719000000.0,
13. Quỹ phát triển khoa học và công nghệ,,,,,,
D.VỐN CHỦ SỞ HỮU,51888407000000.0,25030279000000.0,42336652000000.0,36636739000000.0,38237241000000.0,
I. Vốn chủ sở hữu,51888407000000.0,25030279000000.0,42336652000000.0,36636739000000.0,38237241000000.0,
1. Vốn góp của chủ sở hữu,11689464000000.0,11746832000000.0,11805347000000.0,14237248000000.0,14308434000000.0,
- Cổ phiếu phổ thông có quyền biểu quyết,,27383610000000.0,,14237248000000.0,14308434000000.0,
- Cổ phiếu ưu đãi,,-25201486000000,,,,
2. Thặng dư vốn cổ phần,11084357000000.0,11084297000000.0,11084247000000.0,8723128000000.0,8723078000000.0,
3. Quyền chọn chuyển đổi trái phiếu,,,,,,
4. Vốn khác của chủ sở hữu,-8563690000000,-8563690000000,-8388147000000,-8388147000000,-8388147000000,
5. Cổ phiếu quỹ,,,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,
7. Chênh lệch tỷ giá hối đoái,11033000000.0,-226972000000,-339255000000,-385158000000,-224222000000,
8. Quỹ đầu tư phát triển,,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,-284952000000,-147087000000,583625000000.0,342381000000.0,
11. Lợi nhuận sau thuế chưa phân phối,28558952000000.0,2182124000000.0,18795877000000.0,11381940000000.0,11798056000000.0,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,13228832000000.0,,18033436000000.0,17656897000000.0,11381940000000.0,
- LNST chưa phân phối kỳ này,15330120000000.0,,762441000000.0,-6274957000000,416116000000.0,
12. Nguồn vốn đầu tư XDCB,,,,,,
13. Lợi ích cổ đông không kiểm soát,9108291000000.0,9092640000000.0,9525670000000.0,10484103000000.0,11677661000000.0,
II. Nguồn kinh phí và quỹ khác,,,,,,
1. Nguồn kinh phí,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,
TỔNG CỘNG NGUỒN VỐN,97297251000000.0,115736562000000.0,126093471000000.0,141342815000000.0,147383472000000.0,
