Chỉ tiêu,2019,2020,2021,2022,2023,2024
2. Người mua trả tiền trước ngắn hạn,414280990286.0,894453239637.0,514339547221.0,877928026040.0,552908614849.0,
3. Thuế và các khoản phải nộp nhà nước,129306628591.0,454343617554.0,149301926097.0,145333576572.0,364649564762.0,
4. Phải trả người lao động,215919868.0,134912511.0,9452327919.0,105757133.0,105001135.0,
5. Chi phí phải trả ngắn hạn,1634889249478.0,1043936809354.0,1527000062915.0,1418514234584.0,1823639404557.0,
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,4718340907.0,4327075364.0,2303464821.0,1069455000.0,1218898453.0,
9. Phải trả ngắn hạn khác,702391584903.0,2856054333594.0,2634535163959.0,3829774766541.0,3055809343520.0,
10. Vay và nợ thuê tài chính ngắn hạn,804035305750.0,1546681630497.0,1515095900895.0,3951376578333.0,337323250730.0,
11. Dự phòng phải trả ngắn hạn,,,,,,
12. Quỹ khen thưởng phúc lợi,7028227309.0,6862561309.0,6878961309.0,6954216309.0,6989176309.0,
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,1984400404013.0,6170686623560.0,7921500084753.0,6376828884246.0,6634571358623.0,
1. Phải trả người bán dài hạn,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,
3. Chi phí phải trả dài hạn,909879723.0,1134633021863.0,1430816612872.0,1760346557414.0,2149400351677.0,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,
6. Doanh thu chưa thực hiện dài hạn,4791738286.0,4664114060.0,4536489837.0,4408865613.0,4281241388.0,
7. Phải trả dài hạn khác,35126202093.0,35537754956.0,11455085747.0,18427188430.0,27417079156.0,
8. Vay và nợ thuê tài chính dài hạn,1121897918268.0,4218161587925.0,5539263915459.0,3687089342314.0,3322049863699.0,
9. Trái phiếu chuyển đổi,,,,,,
10. Cổ phiếu ưu đãi,,,,,,
11. Thuế thu nhập hoãn lại phải trả,820722697681.0,776738176794.0,934476012876.0,905604962513.0,1130470854741.0,
12. Dự phòng phải trả dài hạn,951967962.0,951967962.0,951967962.0,951967962.0,951967962.0,
13. Quỹ phát triển khoa học và công nghệ,,,,,,
D.VỐN CHỦ SỞ HỮU,10381131101072.0,10652995127729.0,16171359131559.0,17845519292086.0,20220872704416.0,
I. Vốn chủ sở hữu,10381131101072.0,10652995127729.0,16171359131559.0,17845519292086.0,20220872704416.0,
1. Vốn góp của chủ sở hữu,4757111670000.0,59509780000.0,5757111670000.0,7676047590000.0,7676047590000.0,
- Cổ phiếu phổ thông có quyền biểu quyết,4697601890000.0,4697601890000.0,5697601890000.0,7676047590000.0,7676047590000.0,
- Cổ phiếu ưu đãi,,,59509780000.0,,,
2. Thặng dư vốn cổ phần,989064430000.0,989064430000.0,3397344430000.0,2743529570000.0,2743529570000.0,
3. Quyền chọn chuyển đổi trái phiếu,,,,,,
4. Vốn khác của chủ sở hữu,,,,,,
5. Cổ phiếu quỹ,-364466650000,-364466650000,-364466650000,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,,
8. Quỹ đầu tư phát triển,2223693823.0,2223693823.0,2223693823.0,2223693823.0,2223693823.0,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,,
11. Lợi nhuận sau thuế chưa phân phối,4099263633258.0,4316487151605.0,5098791537715.0,5646308490449.0,7754163743041.0,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,918361874953.0,224032834488.0,782304386110.0,4119957410625.0,5723464382722.0,
- LNST chưa phân phối kỳ này,3180901758305.0,4092454317117.0,4316487151605.0,1526351079824.0,2030699360319.0,
12. Nguồn vốn đầu tư XDCB,,,,,,
13. Lợi ích cổ đông không kiểm soát,897934323991.0,952574832301.0,2280354450021.0,1777409947814.0,2044908107552.0,
II. Nguồn kinh phí và quỹ khác,,,,,,
1. Nguồn kinh phí,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,
TỔNG CỘNG NGUỒN VỐN,16432989802701.0,23785878249949.0,30603980042503.0,34906513197012.0,33434220275901.0,
