Chỉ tiêu,2019,2020,2021,2022,2023,2024
4. Phải trả người lao động,175278868740.0,218642140172.0,231720643808.0,221869370563.0,286804533596.0,
5. Chi phí phải trả ngắn hạn,1608992390404.0,1090647961516.0,1017229628854.0,1931211006270.0,1361848076612.0,
6. Phải trả nội bộ ngắn hạn,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,1255138330.0,1005508387.0,,36818183.0,,
9. Phải trả ngắn hạn khác,1327867877294.0,1980644729308.0,2352555482888.0,2653067850408.0,2688405796712.0,
10. Vay và nợ thuê tài chính ngắn hạn,9157536870815.0,7018700714605.0,5704807422912.0,5635216330148.0,5506591086310.0,
11. Dự phòng phải trả ngắn hạn,148406550954.0,1175972431723.0,918113948095.0,205455087777.0,717886349870.0,
12. Quỹ khen thưởng phúc lợi,124694849258.0,29737804690.0,50210661153.0,78423754777.0,104038502413.0,
13. Quỹ bình ổn giá,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,
II. Nợ dài hạn,9122692357898.0,6303716986778.0,4103958527802.0,5236113024963.0,9457502563785.0,
1. Phải trả người bán dài hạn,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,
3. Chi phí phải trả dài hạn,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,,
7. Phải trả dài hạn khác,971515195.0,857644907.0,405403444.0,477101718.0,548807593.0,
8. Vay và nợ thuê tài chính dài hạn,8394084458923.0,5391220150825.0,2753012100936.0,3381845397268.0,7172278203632.0,
9. Trái phiếu chuyển đổi,,,,,,
10. Cổ phiếu ưu đãi,,,,,,
11. Thuế thu nhập hoãn lại phải trả,,,1660129075.0,2607681114.0,3163733986.0,
12. Dự phòng phải trả dài hạn,595987979917.0,790061652540.0,1231061652544.0,1733363603060.0,2163968976771.0,
13. Quỹ phát triển khoa học và công nghệ,131648403863.0,121577538506.0,117819241803.0,117819241803.0,117542841803.0,
D.VỐN CHỦ SỞ HỮU,29509314311205.0,31266593379474.0,31125377710593.0,33281450502337.0,34119429170920.0,
I. Vốn chủ sở hữu,29509314311205.0,31266593379474.0,31125377710593.0,33281450502337.0,34119429170920.0,
1. Vốn góp của chủ sở hữu,23418716000000.0,23418716000000.0,23418716000000.0,23418716000000.0,23418716000000.0,
- Cổ phiếu phổ thông có quyền biểu quyết,23418716000000.0,23418716000000.0,23418716000000.0,23418716000000.0,23418716000000.0,
- Cổ phiếu ưu đãi,,,,,,
2. Thặng dư vốn cổ phần,-274807025,-274807025,-274807025,-274807025,-274807025,
3. Quyền chọn chuyển đổi trái phiếu,,,,,,
4. Vốn khác của chủ sở hữu,227887397807.0,225662145738.0,225720372645.0,225720372645.0,225720372645.0,
5. Cổ phiếu quỹ,,,,,,
6. Chênh lệch đánh giá lại tài sản,-191305728000,-191305728000,-191305728000,-191305728000,-191305728000,
7. Chênh lệch tỷ giá hối đoái,,,,,,
8. Quỹ đầu tư phát triển,780958252480.0,782216585311.0,2174558130932.0,3643183139192.0,4039359698763.0,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,,
11. Lợi nhuận sau thuế chưa phân phối,2650694553578.0,4302230689261.0,3010430220648.0,3420458998695.0,3922654507752.0,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,1842028211012.0,2365014893441.0,1798554042056.0,1359600700363.0,2884290565455.0,
- LNST chưa phân phối kỳ này,808666342566.0,1937215795820.0,1211876178592.0,2060858298332.0,1038363942297.0,
12. Nguồn vốn đầu tư XDCB,,,,,,
13. Lợi ích cổ đông không kiểm soát,2622638642365.0,2729348494189.0,2487533521393.0,2764952526830.0,2704559126785.0,
II. Nguồn kinh phí và quỹ khác,,,,,,
1. Nguồn kinh phí,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,
TỔNG CỘNG NGUỒN VỐN,55695702533961.0,54050146599573.0,52976917956925.0,56843244854790.0,70362090314609.0,
