Ngành,Chỉ số,2021,2022,2023,2024
Xây dựng và Vật liệu,Biên EBIT (%),0.1278133391,0.1004451481,-0.0044586734,0.1014446669
Xây dựng và Vật liệu,Biên lợi nhuận ròng (%),0.1073804877,0.3643554777,0.0936577896,0.0368465148
Xây dựng và Vật liệu,Chỉ số thanh toán hiện thời,2.3045593396,2.3350345505,2.3850624989,2.3160369138
Xây dựng và Vật liệu,Quay vòng tài sản,0.8549817918,0.9249377958,0.7725805545,0.7874672777
Xây dựng và Vật liệu,(Vay NH + DH)/VCSH,0.4870514036,0.5100996578,0.4809765347,0.4545831155
Xây dựng và Vật liệu,ROIC (%),0.3458475843,0.3275613806,0.4641627677,0.5036569441
Xây dựng và Vật liệu,Vòng quay TSCĐ,5.306056,7.144043,6.657866,8.663196
Truyền thông,Chu kỳ tiền,-404.523709935,-1700.40484945,-641.3568058329,-275.8807215169
Truyền thông,Tăng trưởng lợi nhuận (%),0.22816538473932896,0.08668055204981287,0.10737107643407527,-0.2645005047703307
Truyền thông,Lợi nhuận sau thuế của Cổ đông công ty mẹ,358988527301.0,390105851027.0,431991936175.0,317729851000.0
Truyền thông,Tăng trưởng doanh thu (%),-0.08928115856688261,0.30079601093865294,0.021239784694724255,0.035011824070872756
Truyền thông,Doanh thu,8536124502634.0,11103756701902.0,11339598103553.0,11736618117389.0
Truyền thông,Vốn hóa,8611103246572.0,7010643532480.0,4803608949290.0,4182697334116.0
Truyền thông,EPS (VND),1014.286006192671,1110.1914292981749,1234.5778625140142,908.0313947007813
Truyền thông,P/E,24.2042063693,17.2849047584,10.795476751,12.1210543315
Truyền thông,P/B,1.8528002095,1.3833317158,0.9088264079,0.78258813
Truyền thông,P/S,82.9700996353,29.1196864831,8.8602928384,20.903048328
Truyền thông,P/Cash Flow,795.3011663977,5.7619700673,17.7556184195,-0.1065710471
Truyền thông,Số CP lưu hành,353932249.0,351386113.0,349910645.0,349910645.0
Truyền thông,EV/EBITDA,-92.3145198319,79.3511734519,-10.1682098316,-26.3335803537
Truyền thông,BVPS (VND),16984.6953433292,18478.6552555365,19099.57133341,18755.2156235087
Truyền thông,Chỉ số thanh toán tiền mặt,1.2247122964,0.4188695547,0.4588440696,0.7460733247
Truyền thông,Nợ/VCSH,1.0821838757,1.4284855507,1.1561958507,1.1772747263
Truyền thông,ROE (%),0.0660789845,0.0536235819,0.0937866916,0.1063009792
Truyền thông,ROA (%),0.0423204747,0.0298267473,0.0529279777,0.0628180042
Truyền thông,Số ngày thu tiền bình quân,95.1332237908,60.7206535865,76.2941924213,769.4275406573
Truyền thông,Số ngày tồn kho bình quân,94.0728934051,55.6943514505,94.3187005059,122.3241759823
Truyền thông,Chỉ số thanh toán nhanh,19.9168740122,5.0949761431,9.0322320379,3.4811303053
Truyền thông,Số ngày thanh toán bình quân,593.7298271309,1816.819854487,811.9696987601,1167.6324381565
Truyền thông,Biên lợi nhuận gộp (%),0.4483328775,0.5837657589,0.4252615141,0.2337667558
Truyền thông,Biên EBIT (%),0.0728029898,0.353902211,0.100021832,-1.1763289965
Truyền thông,Biên lợi nhuận ròng (%),1.3499403415,0.1560871338,0.4405183393,-10.3936852237
Truyền thông,Chỉ số thanh toán hiện thời,20.3036669575,5.4453303101,9.6161505024,4.0386969905
Truyền thông,Quay vòng tài sản,0.568518073,0.710783493,1.0175597274,1.2796821573
Truyền thông,(Vay NH + DH)/VCSH,0.7038423423,0.7677992588,0.4978619367,0.1868340988
Truyền thông,ROIC (%),1.2247122964,0.4188695547,0.4588440696,0.7460733247
Truyền thông,Vòng quay TSCĐ,40.47851,30.24837,41.00692,49.35122
Phân phối thực phẩm & dược phẩm,Chu kỳ tiền,96.5273764915,104.8106154869,87.4919377184,81.0032200981
Phân phối thực phẩm & dược phẩm,Tăng trưởng lợi nhuận (%),8.278836685871761,-0.861987655758158,3.645294116046591,0.9117701159218216
Phân phối thực phẩm & dược phẩm,Lợi nhuận sau thuế của Cổ đông công ty mẹ,326146188765.0,45012200077.0,209094908168.0,399741396827.0
Phân phối thực phẩm & dược phẩm,Tăng trưởng doanh thu (%),0.010809116832529036,0.5383940649393022,0.2296079985482224,0.21521609968497132
Phân phối thực phẩm & dược phẩm,Doanh thu,2365263336171.0,3638707078384.0,4474183327955.0,5437099613073.0
Phân phối thực phẩm & dược phẩm,Vốn hóa,1168819801800.0,875730220400.0,1009652207400.0,1411254013600.0
Phân phối thực phẩm & dược phẩm,EPS (VND),5231.797211678567,678.5156051865905,3354.1466839514496,5535.148371574843
Phân phối thực phẩm & dược phẩm,P/E,3.4951528143,0.0,4.8631706915,9.684301613
Phân phối thực phẩm & dược phẩm,P/B,1.2081906502,0.9087218548,0.8554160899,1.2841411245
Phân phối thực phẩm & dược phẩm,P/S,0.6943041926,0.4211803704,0.4146788203,0.9028384617
Phân phối thực phẩm & dược phẩm,P/Cash Flow,-21.107348849,2.8423048426,1.825059859,4.7251751237
Phân phối thực phẩm & dược phẩm,Số CP lưu hành,62339226.0,66339226.0,62339226.0,72218732.0
Phân phối thực phẩm & dược phẩm,EV/EBITDA,4.7062285203,30.0319478935,6.1618709526,7.7451343825
Phân phối thực phẩm & dược phẩm,BVPS (VND),14584.0318623404,14528.1797488412,18935.1938031441,15218.8568763434
Phân phối thực phẩm & dược phẩm,Chỉ số thanh toán tiền mặt,0.2333099432,0.1476544074,0.3147776202,1.0996626936
Phân phối thực phẩm & dược phẩm,Nợ/VCSH,1.9425651773,-0.3074500768,4.6331486153,1.5211147013
Phân phối thực phẩm & dược phẩm,ROE (%),0.0892387855,-0.2693969144,0.1757966506,0.2055283585
Phân phối thực phẩm & dược phẩm,ROA (%),0.0970737018,0.0509367168,0.12742369,0.1386529567
Phân phối thực phẩm & dược phẩm,Số ngày thu tiền bình quân,61.6937647386,65.6286740485,56.8792300062,47.4485212102
Phân phối thực phẩm & dược phẩm,Số ngày tồn kho bình quân,56.2635028049,56.7636184708,43.1963409562,46.6167701858
Phân phối thực phẩm & dược phẩm,Chỉ số thanh toán nhanh,1.4716902656,1.5200341172,2.4836893298,5.0438429658
Phân phối thực phẩm & dược phẩm,Số ngày thanh toán bình quân,21.429891052,17.5816770324,12.583633244,13.0620712979
Phân phối thực phẩm & dược phẩm,Biên lợi nhuận gộp (%),0.085592705,0.1419076714,0.1691091163,0.1719184849
Phân phối thực phẩm & dược phẩm,Biên EBIT (%),0.0215718056,0.0279554911,0.1022215817,0.1176510594
Phân phối thực phẩm & dược phẩm,Biên lợi nhuận ròng (%),0.1795125613,0.0214022257,0.0932101931,0.1183567628
Phân phối thực phẩm & dược phẩm,Chỉ số thanh toán hiện thời,1.9907508508,1.970432344,3.0972485534,5.9927963869
Phân phối thực phẩm & dược phẩm,Quay vòng tài sản,1.2624942792,1.4300476713,1.6543292508,1.3233517622
Phân phối thực phẩm & dược phẩm,(Vay NH + DH)/VCSH,1.2067984199,0.061571819,2.443730694,3.3290484006
Phân phối thực phẩm & dược phẩm,ROIC (%),0.2333099432,0.1476544074,0.3147776202,1.0996626936
Phân phối thực phẩm & dược phẩm,Vòng quay TSCĐ,11.60551,14.63539,19.35157,17.89574
Dược phẩm,Chu kỳ tiền,178.2459514084,158.6400046558,175.6522937228,180.1848672924
Dược phẩm,Tăng trưởng lợi nhuận (%),0.02422863071941662,0.12522596618240966,0.05005047474208392,0.006096662182701578
Dược phẩm,Lợi nhuận sau thuế của Cổ đông công ty mẹ,3280941698749.0,3691800792963.0,3876577175304.0,3900211356767.0
Dược phẩm,Tăng trưởng doanh thu (%),-0.06622585303957727,0.15997393344151958,0.054213895677222526,0.05198188254977259
Dược phẩm,Doanh thu,71355062890967.0,82770012972602.0,87257297821101.0,91793096428048.0
Dược phẩm,Vốn hóa,55262273421903.0,43941488772279.0,52330241672727.0,58149237261718.0
Dược phẩm,EPS (VND),2364.6100435196736,2631.2235309542853,2766.7569158196256,2071.9523684893647
Dược phẩm,P/E,16.6315777849,12.6691098577,13.4919137857,15.2510345696
Dược phẩm,P/B,2.0058964068,1.5555075902,1.7476699433,1.685636447
Dược phẩm,P/S,2.4990651799,1.5952163986,1.9703199879,1.952375116
Dược phẩm,P/Cash Flow,19.4482799214,2.5635882949,12.6729787029,12.5322661524
Dược phẩm,Số CP lưu hành,1387519142.0,1403073798.0,1401126768.0,1882384661.0
Dược phẩm,EV/EBITDA,20.5317510259,11.4933184617,12.4837713049,14.4054020935
Dược phẩm,BVPS (VND),19673.7343138436,20459.9582698885,21742.3455584106,19748.4732316308
Dược phẩm,Chỉ số thanh toán tiền mặt,0.2650416146,0.2197510118,0.2459897171,0.2898028799
Dược phẩm,Nợ/VCSH,0.6842249466,0.6236889283,0.5626506987,0.5774520799
Dược phẩm,ROE (%),0.1452238226,0.1639682838,0.1779852004,0.1513076439
Dược phẩm,ROA (%),0.1061189221,0.1224501061,0.1295367836,0.1058222382
Dược phẩm,Số ngày thu tiền bình quân,75.9991837805,61.731593455,64.965646524,71.327188963
Dược phẩm,Số ngày tồn kho bình quân,159.1543127505,151.591824648,164.5749136811,160.7149215455
Dược phẩm,Chỉ số thanh toán nhanh,2.2548725113,2.2289155965,2.0105700499,1.9353027423
Dược phẩm,Số ngày thanh toán bình quân,56.9075451226,54.6834134472,53.8882664823,51.8572432161
Dược phẩm,Biên lợi nhuận gộp (%),0.3556243732,0.380759276,0.3806871775,0.3554212385
Dược phẩm,Biên EBIT (%),0.1410905258,0.1499568642,0.1527034978,0.1371815252
Dược phẩm,Biên lợi nhuận ròng (%),0.1285069712,0.1283476889,0.1436386309,0.1235480083
Dược phẩm,Chỉ số thanh toán hiện thời,3.2681482562,3.297323483,3.1232250749,2.9377307846
Dược phẩm,Quay vòng tài sản,0.8784463718,0.9830264339,0.9322822545,0.8757518974
Dược phẩm,(Vay NH + DH)/VCSH,0.276715713,0.2417169623,0.266181587,0.2789280411
Dược phẩm,ROIC (%),0.2650416146,0.2197510118,0.2459897171,0.2898028799
Dược phẩm,Vòng quay TSCĐ,7.071512,7.88483,7.141751,6.966558
Điện tử & Thiết bị điện,Chu kỳ tiền,180.4710785584,179.5732511694,187.3987294371,99.3963421645
Điện tử & Thiết bị điện,Tăng trưởng lợi nhuận (%),0.0869463159255814,-0.24265991293966183,-0.14736353485495887,2.3140261642855195
Điện tử & Thiết bị điện,Lợi nhuận sau thuế của Cổ đông công ty mẹ,1925030989462.0,1457903137153.0,1243061377386.0,4119537928470.0
Điện tử & Thiết bị điện,Tăng trưởng doanh thu (%),0.2433231725451265,0.01928877127731209,-0.07517262141418142,0.20331169590723208
Điện tử & Thiết bị điện,Doanh thu,56297756634570.0,57383671185720.0,53069990196320.0,63859739904914.0
Điện tử & Thiết bị điện,Vốn hóa,61534986198100.0,25024396222802.0,35790323895968.0,46426604440700.0
Điện tử & Thiết bị điện,EPS (VND),1229.9471098556621,1030.3073168334668,911.4897440003459,3078.8813725612436
Điện tử & Thiết bị điện,P/E,29.4203693543,17.2193601648,28.7931640524,11.1752841426
Điện tử & Thiết bị điện,P/B,2.2987692191,1.1514608355,1.7276683109,1.9695071306
Điện tử & Thiết bị điện,P/S,28.6259801475,2.4667866257,16.8891296872,0.8345444164
Điện tử & Thiết bị điện,P/Cash Flow,-5.1594781242,5.6270151665,5.5101008437,23.5565416045
Điện tử & Thiết bị điện,Số CP lưu hành,1565133146.0,1415017746.0,1363768913.0,1337998263.0
Điện tử & Thiết bị điện,EV/EBITDA,14.2085427041,8.4927123945,-9.7974125247,7.7600366433
Điện tử & Thiết bị điện,BVPS (VND),21489.5513857881,22199.6989871475,22074.3167145899,24957.2894900395
Điện tử & Thiết bị điện,Chỉ số thanh toán tiền mặt,0.3396448701,0.2016814178,0.2994100788,0.3043306086
Điện tử & Thiết bị điện,Nợ/VCSH,2.0711843161,1.5733888335,1.5262682144,1.1213471809
Điện tử & Thiết bị điện,ROE (%),0.0806794267,0.0683272977,0.0613466073,0.2197494813
Điện tử & Thiết bị điện,ROA (%),0.0259865569,0.0232150762,0.0202641337,0.0867606719
Điện tử & Thiết bị điện,Số ngày thu tiền bình quân,162.6708722446,82.4874788866,104.6937049763,35.7586491662
Điện tử & Thiết bị điện,Số ngày tồn kho bình quân,99.9894127819,147.6652049757,121.3117696094,93.3367591418
Điện tử & Thiết bị điện,Chỉ số thanh toán nhanh,0.8426971912,0.6777787802,1.1877950923,1.0992056243
Điện tử & Thiết bị điện,Số ngày thanh toán bình quân,82.1892064681,50.5794326929,38.6067451486,29.6990661435
Điện tử & Thiết bị điện,Biên lợi nhuận gộp (%),0.2074587849,0.1620273153,0.1767071771,0.178212765
Điện tử & Thiết bị điện,Biên EBIT (%),0.058782978,0.0729085553,0.042636645,0.1132979568
Điện tử & Thiết bị điện,Biên lợi nhuận ròng (%),0.9470454524,0.0612057153,0.0393964078,0.0854684236
Điện tử & Thiết bị điện,Chỉ số thanh toán hiện thời,1.3138727153,1.3204327052,1.7078632405,1.7408946495
Điện tử & Thiết bị điện,Quay vòng tài sản,0.6724362168,0.7336229198,0.7358294352,1.1341726942
Điện tử & Thiết bị điện,(Vay NH + DH)/VCSH,1.2664213753,0.9908242009,0.9069337996,0.6086201279
Điện tử & Thiết bị điện,ROIC (%),0.3396448701,0.2016814178,0.2994100788,0.3043306086
Điện tử & Thiết bị điện,Vòng quay TSCĐ,3.879929,7.542301,5.226599,1064.164
Thiết bị và Dịch vụ Y tế,Chu kỳ tiền,482.3811492767,451.0713442051,541.0108309831,327.2190882684
Thiết bị và Dịch vụ Y tế,Tăng trưởng lợi nhuận (%),0.4734980130736635,-0.2845305404916644,0.1711313292183142,-0.48357529775324887
Thiết bị và Dịch vụ Y tế,Lợi nhuận sau thuế của Cổ đông công ty mẹ,101598975488.0,72690964079.0,85130665384.0,43963578523.0
Thiết bị và Dịch vụ Y tế,Tăng trưởng doanh thu (%),0.0817398649739906,0.124697248347156,-0.06970640822704767,0.09330366203520248
Thiết bị và Dịch vụ Y tế,Doanh thu,1478300976793.0,1662641040828.0,1546744305701.0,1691061213655.0
Thiết bị và Dịch vụ Y tế,Vốn hóa,1786118226600.0,1167066321720.0,1304533295240.0,1167404993530.0
Thiết bị và Dịch vụ Y tế,EPS (VND),747.2063961159467,255.5539975921571,296.0393145482851,152.88201486893044
Thiết bị và Dịch vụ Y tế,P/E,91.1901804111,15.8332822244,16.0223121041,17.1575536953
Thiết bị và Dịch vụ Y tế,P/B,2.174978609,0.4396617305,0.4797333511,0.4189821914
Thiết bị và Dịch vụ Y tế,P/S,3.048490593,1.0987682105,1.4743813971,0.8867042636
Thiết bị và Dịch vụ Y tế,P/Cash Flow,-61.5102694361,-11.1266228679,6.9314548691,4.1637233379
Thiết bị và Dịch vụ Y tế,Số CP lưu hành,135971769.0,284444637.0,287565405.0,287565405.0
Thiết bị và Dịch vụ Y tế,EV/EBITDA,21.797077751,6.9137960268,10.4290065231,9.9367798501
Thiết bị và Dịch vụ Y tế,BVPS (VND),6117.3563290406,9623.6554560879,9750.373686494,9972.696497063
Thiết bị và Dịch vụ Y tế,Chỉ số thanh toán tiền mặt,0.1845204271,1.1645900476,0.3706007821,0.0901848465
Thiết bị và Dịch vụ Y tế,Nợ/VCSH,0.4231297088,0.459752526,0.4502126423,0.4892339085
Thiết bị và Dịch vụ Y tế,ROE (%),0.0039908547,0.0319622745,0.0478892386,0.0609070354
Thiết bị và Dịch vụ Y tế,ROA (%),0.0015082476,0.0224235239,0.034344756,0.0416568522
Thiết bị và Dịch vụ Y tế,Số ngày thu tiền bình quân,362.0829362513,228.9335580694,270.4893472554,224.1649065875
Thiết bị và Dịch vụ Y tế,Số ngày tồn kho bình quân,153.061073268,276.6337167151,329.9749338029,143.8285227347
Thiết bị và Dịch vụ Y tế,Chỉ số thanh toán nhanh,4.7750398391,7.0587465937,4.5766935052,2.3890852141
Thiết bị và Dịch vụ Y tế,Số ngày thanh toán bình quân,32.7628602426,54.4959305794,59.4534500752,40.7743410538
Thiết bị và Dịch vụ Y tế,Biên lợi nhuận gộp (%),0.1551138157,0.2388614924,0.2403351271,0.2057129882
Thiết bị và Dịch vụ Y tế,Biên EBIT (%),-0.0236009554,0.1055794948,0.0967143675,0.0647991306
Thiết bị và Dịch vụ Y tế,Biên lợi nhuận ròng (%),-0.0037511425,0.0926467064,0.0659473094,0.0520202664
Thiết bị và Dịch vụ Y tế,Chỉ số thanh toán hiện thời,6.4916056956,8.3063058562,5.7023133737,2.979902947
Thiết bị và Dịch vụ Y tế,Quay vòng tài sản,0.7316424669,0.5795389409,0.610956719,0.7212922882
Thiết bị và Dịch vụ Y tế,(Vay NH + DH)/VCSH,0.175296166,0.2926794322,0.280860668,0.285518599
Thiết bị và Dịch vụ Y tế,ROIC (%),0.1845204271,1.1645900476,0.3706007821,0.0901848465
Thiết bị và Dịch vụ Y tế,Vòng quay TSCĐ,3.379674,3.210279,3.445126,4.72363
Hàng công nghiệp,Chu kỳ tiền,78.8100522093,90.1263580664,93.7296348579,91.0883014452
Hàng công nghiệp,Tăng trưởng lợi nhuận (%),-0.40653041516575994,0.0045626410093201055,0.3885395626554108,-0.08070603618525561
Hàng công nghiệp,Lợi nhuận sau thuế của Cổ đông công ty mẹ,445169838883.0,447200989046.0,620956265749.0,570841346896.0
Hàng công nghiệp,Tăng trưởng doanh thu (%),0.3743295352104896,0.13086754847431697,-0.09836755279747479,-0.02223971362552228
Hàng công nghiệp,Doanh thu,31471837641379.0,35590479879488.0,32089531470855.0,31375869480566.0
Hàng công nghiệp,Vốn hóa,14279495059200.0,8863885550677.0,10119003871180.0,9112092532780.0
Hàng công nghiệp,EPS (VND),769.2414581365996,764.6551787762162,1043.9697616432193,968.4529452084482
Hàng công nghiệp,P/E,30.3012194367,41.0992075128,27.2400224831,29.1008335343
Hàng công nghiệp,P/B,1.7279622031,1.007129685,1.187655386,1.1692569538
Hàng công nghiệp,P/S,0.6061677349,0.9613287718,0.6547908193,0.6960511052
Hàng công nghiệp,P/Cash Flow,-0.9408286699,6.1721772034,-3.8902677626,3.1833261461
Hàng công nghiệp,Số CP lưu hành,578712749.0,584840071.0,594802923.0,589436327.0
Hàng công nghiệp,EV/EBITDA,13.7896345804,-41.0964669698,-14.2105186395,12.6413749573
Hàng công nghiệp,BVPS (VND),20034.9756080819,21252.5412211623,20154.1971787654,19275.2353818634
Hàng công nghiệp,Chỉ số thanh toán tiền mặt,0.3221508306,0.2145725998,0.225687438,0.3183062393
Hàng công nghiệp,Nợ/VCSH,1.242928996,1.4877791119,1.5833941568,1.6477727888
Hàng công nghiệp,ROE (%),0.0526090991,0.0643069449,0.0754547644,0.0883038745
Hàng công nghiệp,ROA (%),0.0138977047,0.0236709908,0.0379389099,0.0358365526
Hàng công nghiệp,Số ngày thu tiền bình quân,51.9626765577,65.2098257559,60.8946155774,57.5559048411
Hàng công nghiệp,Số ngày tồn kho bình quân,58.5355930071,65.5231514603,71.6896684618,66.1681684628
Hàng công nghiệp,Chỉ số thanh toán nhanh,1.1166015554,1.0315042899,1.2886658896,1.3860705507
Hàng công nghiệp,Số ngày thanh toán bình quân,31.6882173555,40.6066191498,38.8546491813,32.6357718587
Hàng công nghiệp,Biên lợi nhuận gộp (%),0.0873433161,0.1062072869,0.1177368191,0.1158638576
Hàng công nghiệp,Biên EBIT (%),-0.0028020838,0.0191540824,0.042946126,0.0395898692
Hàng công nghiệp,Biên lợi nhuận ròng (%),-0.0418782031,-0.0102227937,0.0227855153,0.019247598
Hàng công nghiệp,Chỉ số thanh toán hiện thời,1.5623935756,1.4836583262,1.7428545669,1.8343058826
Hàng công nghiệp,Quay vòng tài sản,1.3188914193,1.2599625741,1.2082381973,1.2446949561
Hàng công nghiệp,(Vay NH + DH)/VCSH,0.9214594428,1.1201767373,1.2454845311,1.289213485
Hàng công nghiệp,ROIC (%),0.3221508306,0.2145725998,0.225687438,0.3183062393
Hàng công nghiệp,Vòng quay TSCĐ,6.34954,7.78311,8.339067,10.01226
Công nghiệp nặng,Chu kỳ tiền,211.3716182016,188.6637573448,232.4302162244,226.6616453065
Công nghiệp nặng,Tăng trưởng lợi nhuận (%),0.02175209450698534,0.25744517120921745,-0.1506366507394152,0.18652714607368168
Công nghiệp nặng,Lợi nhuận sau thuế của Cổ đông công ty mẹ,6040837594449.0,7596022063199.0,6451782740656.0,7655215362358.0
Công nghiệp nặng,Tăng trưởng doanh thu (%),-0.10666866880684678,0.14626264729923766,-0.02249453160720686,0.05377318612135846
Công nghiệp nặng,Doanh thu,22856326963408.0,26199353852613.0,25610011659287.0,26987143582812.0
Công nghiệp nặng,Vốn hóa,96533466543976.0,81391221044100.0,81124133918952.0,58278834512952.0
Công nghiệp nặng,EPS (VND),2885.290798925086,3450.1375585057385,2892.913363813701,4239.57524607475
Công nghiệp nặng,P/E,12.1821001588,7.8249296218,9.4788676839,7.6149205506
Công nghiệp nặng,P/B,2.2743842636,1.7578432995,1.6920332314,1.8828873953
Công nghiệp nặng,P/S,11.5706082495,7.3795650117,8.9561007345,11.3960991402
Công nghiệp nặng,P/Cash Flow,-139.172192402,310.3511346393,584.0355920657,-253.8990385537
Công nghiệp nặng,Số CP lưu hành,2093666814.0,2201657741.0,2230202543.0,1805656208.0
Công nghiệp nặng,EV/EBITDA,116.9301895275,114.1573620058,1430.377553458,165.1268162212
Công nghiệp nặng,BVPS (VND),21893.3989780448,22995.267372855,23243.1920320082,17364.1893157366
Công nghiệp nặng,Chỉ số thanh toán tiền mặt,0.2786533728,0.2335422987,0.4729719001,0.2978360133
Công nghiệp nặng,Nợ/VCSH,0.4756685997,0.4745913322,0.4075267528,0.3191184028
Công nghiệp nặng,ROE (%),0.1940830453,0.2411609872,0.1974810539,0.2691089937
Công nghiệp nặng,ROA (%),0.1658134563,0.2051515109,0.1631979233,0.2456450115
Công nghiệp nặng,Số ngày thu tiền bình quân,102.0618129736,88.359766251,107.619869117,85.3829606897
Công nghiệp nặng,Số ngày tồn kho bình quân,159.4783236151,143.6321406126,172.8851882037,184.7470482706
Công nghiệp nặng,Chỉ số thanh toán nhanh,8.6826672697,5.324124076,9.0129859812,12.4147841532
Công nghiệp nặng,Số ngày thanh toán bình quân,50.1685183871,43.3281495188,48.0748410963,43.4683636538
Công nghiệp nặng,Biên lợi nhuận gộp (%),0.2069239278,0.2283424456,0.2165329704,0.1435124747
Công nghiệp nặng,Biên EBIT (%),0.1001482937,0.1148426697,0.0731264092,0.0100343212
Công nghiệp nặng,Biên lợi nhuận ròng (%),1.0440870181,1.1056546463,1.1071796617,1.6147809603
Công nghiệp nặng,Chỉ số thanh toán hiện thời,9.5393430444,5.9076580443,9.754593652,13.3361050224
Công nghiệp nặng,Quay vòng tài sản,0.2301003617,0.3044819233,0.2458937826,0.2638393564
Công nghiệp nặng,(Vay NH + DH)/VCSH,0.2636836248,0.2775780537,0.2218841632,0.0872209514
Công nghiệp nặng,ROIC (%),0.2786533728,0.2335422987,0.4729719001,0.2978360133
Công nghiệp nặng,Vòng quay TSCĐ,2.873781,3.030085,2.953645,6.16714
Nước & Khí đốt,Chu kỳ tiền,26.8530173011,21.9650581916,29.3087242155,42.3843115122
Nước & Khí đốt,Tăng trưởng lợi nhuận (%),0.2123260329925164,0.5690969570603802,-0.22160511799754298,-0.14249343230922618
Nước & Khí đốt,Lợi nhuận sau thuế của Cổ đông công ty mẹ,10044309377503.0,15760495280013.0,12267888863786.0,10519795272397.0
Nước & Khí đốt,Tăng trưởng doanh thu (%),0.20842300938874725,0.4490649942235812,-0.0896602510303888,-0.05097391161398307
Nước & Khí đốt,Doanh thu,163386980911836.0,236758354551218.0,215530541048614.0,204544106299088.0
Nước & Khí đốt,Vốn hóa,226840265498924.0,211836954917240.0,199581619344669.0,170415419893392.0
Nước & Khí đốt,EPS (VND),3342.2542944556817,4999.73801530327,3421.371879560726,2887.789084110631
Nước & Khí đốt,P/E,23.6250271879,13.5188774998,16.0286894814,16.2226790602
Nước & Khí đốt,P/B,3.6331656507,2.8888408528,2.5780840394,2.332492851
Nước & Khí đốt,P/S,2.4656873211,1.831316619,1.9110990435,1.4071912326
Nước & Khí đốt,P/Cash Flow,24.4931338433,15.0612240483,13.5591210958,19.1571964461
Nước & Khí đốt,Số CP lưu hành,3005249898.0,3152264225.0,3585663674.0,3642854435.0
Nước & Khí đốt,EV/EBITDA,15.727324199,9.9829900284,11.0223503233,9.606657675
Nước & Khí đốt,BVPS (VND),21325.4468322231,23897.2635320737,22125.8528595493,20636.5978844326
Nước & Khí đốt,Chỉ số thanh toán tiền mặt,0.3254578952,0.8115204395,0.38135584,0.3833289697
Nước & Khí đốt,Nợ/VCSH,0.5941512258,0.4505520567,0.4614912643,0.4486071521
Nước & Khí đốt,ROE (%),0.1630830652,0.2481846081,0.1804141497,0.160183704
Nước & Khí đốt,ROA (%),0.1147291323,0.1723575951,0.1289413596,0.1154890398
Nước & Khí đốt,Số ngày thu tiền bình quân,39.8452288627,35.8177177362,43.4752655535,50.8918797463
Nước & Khí đốt,Số ngày tồn kho bình quân,16.3327267121,17.5947486467,21.6298989226,21.2128969155
Nước & Khí đốt,Chỉ số thanh toán nhanh,2.7783683488,3.9159212465,3.6952823503,3.4247855215
Nước & Khí đốt,Số ngày thanh toán bình quân,29.3249382737,31.4474081913,35.7964402606,29.7204651496
Nước & Khí đốt,Biên lợi nhuận gộp (%),0.1693290379,0.20192899,0.1806047323,0.16341667
Nước & Khí đốt,Biên EBIT (%),0.1220765415,0.1658616324,0.1344708966,0.1080307845
Nước & Khí đốt,Biên lợi nhuận ròng (%),0.1035439835,0.1394259212,0.1218975361,0.0938374191
Nước & Khí đốt,Chỉ số thanh toán hiện thời,2.9738771022,4.2326398697,3.9551278856,3.7288367254
Nước & Khí đốt,Quay vòng tài sản,1.2114336003,1.4090292024,1.2174462318,1.4089334609
Nước & Khí đốt,(Vay NH + DH)/VCSH,0.1869366424,0.1386420038,0.1445472429,0.1020128863
Nước & Khí đốt,ROIC (%),0.3254578952,0.8115204395,0.38135584,0.3833289697
Nước & Khí đốt,Vòng quay TSCĐ,4.975053,6.908645,6.410025,7.180683
Du lịch & Giải trí,Chu kỳ tiền,-60.0839280074,-16.3757590813,0.9167174637,0.3343433362
Du lịch & Giải trí,Tăng trưởng lợi nhuận (%),1.5976301777900659,5.263659059744012,0.006576960615163382,0.07102214054246003
Du lịch & Giải trí,Lợi nhuận sau thuế của Cổ đông công ty mẹ,3482956451.0,21816051729.0,21959535042.0,23519148226.0
Du lịch & Giải trí,Tăng trưởng doanh thu (%),-0.3958417158048296,-0.028781527407312588,-0.07431317593561607,-0.010147011778361036
Du lịch & Giải trí,Doanh thu,186355664906.0,180992064229.0,167541969117.0,165841918783.0
Du lịch & Giải trí,Vốn hóa,80850000000.0,55854002500.0,33904532500.0,48916152500.0
Du lịch & Giải trí,EPS (VND),995.1304145714287,4117.809489286001,4144.892160117781,4439.271273647007
Du lịch & Giải trí,P/E,483.6180501764,57.1566658441,0.0,0.0
Du lịch & Giải trí,P/B,1.906176688,0.9231132104,0.581784542,0.839901994
Du lịch & Giải trí,P/S,2.1055824883,0.914502365,0.5535563968,0.8475243393
Du lịch & Giải trí,P/Cash Flow,18.7730372421,-1.2336001362,-179.6491816706,-11.9518433655
Du lịch & Giải trí,Số CP lưu hành,3500000.0,5297975.0,5297975.0,5297975.0
Du lịch & Giải trí,EV/EBITDA,68.2290777741,19.6960404814,88.9035838461,51.5533585062
Du lịch & Giải trí,BVPS (VND),6525.3455343077,11420.6133726565,10999.8225180376,10992.9378681477
Du lịch & Giải trí,Chỉ số thanh toán tiền mặt,0.192236097,0.1704440173,0.0320754465,0.3284803863
Du lịch & Giải trí,Nợ/VCSH,0.3937679612,0.1185906178,0.1601853474,0.1058645956
