Mã,Chỉ số,2020,2021,2022,2023,2024
CMG,Chu kỳ tiền,46.54,45.63,38.97,30.29,10.71
CMG,ROA (%),6.31,6.57,6.76,7.06,13.18
CMG,ROE (%),10.34,12.49,12.23,11.74,22.98
CMG,ROIC (%),6.25,7.48,9.07,7.88,16.09
CMG,Số ngày thanh toán bình quân,58.28,55.39,46.93,46.62,21.34
CMG,Số ngày thu tiền bình quân,84.43,74.47,63.65,64.29,28.31
CMG,Số ngày tồn kho bình quân,20.39,26.56,22.25,12.62,3.75
CMG,Vòng quay TSCĐ,4.74,5.55,5.14,3.93,8.24
CMG,Vòng quay tài sản,1.02,1.04,1.19,1.12,2.32
