Mã,Chỉ số,2020,2021,2022,2023,2024
HPG,Chu kỳ tiền,59.95,63.76,73.58,90.41,38.09
HPG,ROA (%),13.23,23.81,6.35,5.55,14.94
HPG,ROE (%),25.24,46.03,9.04,6.84,23.38
HPG,ROIC (%),16.77,31.16,8.21,5.59,16.45
HPG,Số ngày thanh toán bình quân,71.02,62.67,51.01,44.45,22.31
HPG,Số ngày thu tiền bình quân,13.47,10.88,10.24,13.74,7.89
HPG,Số ngày tồn kho bình quân,117.51,115.55,114.35,121.11,52.51
HPG,Vòng quay TSCĐ,1.87,2.23,2.04,1.68,3.87
HPG,Vòng quay tài sản,0.77,0.97,0.81,0.66,1.48
