Mã,Chỉ số,2020,2021,2022,2023,2024
MSN,Chu kỳ tiền,38.24,39.06,52.44,58.2,27.39
MSN,ROA (%),3.43,11.75,6.9,4.81,11.96
MSN,ROE (%),3.63,29.99,12.04,4.99,22.35
MSN,ROIC (%),1.31,7.01,5.02,3.18,8.96
MSN,Số ngày thanh toán bình quân,38.53,40.77,51.32,45.03,19.76
MSN,Số ngày thu tiền bình quân,7.81,9.35,12.49,11.77,5.07
MSN,Số ngày tồn kho bình quân,68.97,70.48,91.27,91.46,42.09
MSN,Vòng quay TSCĐ,2.43,2.7,2.45,2.53,5.4
MSN,Vòng quay tài sản,0.72,0.73,0.57,0.54,1.13
