Mã,Chỉ số,2020,2021,2022,2023,2024
KBC,Chu kỳ tiền,2548.76,2475.39,6750.3,2296.4,1481.39
KBC,ROA (%),2.28,6.33,6.3,7.43,3.72
KBC,ROE (%),3.04,10.08,9.27,11.8,4.55
KBC,ROIC (%),1.91,7.87,-1.02,9.56,3.43
KBC,Số ngày thanh toán bình quân,65.66,31.56,161.39,84.39,53.34
KBC,Số ngày thu tiền bình quân,232.37,142.39,554.19,51.09,40.45
KBC,Số ngày tồn kho bình quân,2382.05,2364.55,6357.49,2329.7,1494.28
KBC,Vòng quay TSCĐ,8.44,16.83,3.1,13.81,12.38
KBC,Vòng quay tài sản,0.11,0.16,0.03,0.16,0.17
