Mã,Chỉ số,2020,2021,2022,2023,2024
VHM,Chu kỳ tiền,393.2,294.29,465.87,287.65,126.43
VHM,ROA (%),14.8,18.32,10.38,8.9,18.58
VHM,ROE (%),36.67,35.32,20.83,20.25,38.38
VHM,ROIC (%),18.25,27.75,12.06,10.84,18.01
VHM,Số ngày thanh toán bình quân,69.94,119.46,158.56,95.44,53.61
VHM,Số ngày thu tiền bình quân,49.7,55.67,88.61,60.9,34.9
VHM,Số ngày tồn kho bình quân,413.44,358.08,535.82,322.19,145.15
VHM,Vòng quay TSCĐ,22.68,14.22,8.61,10.99,19.22
VHM,Vòng quay tài sản,0.35,0.38,0.21,0.26,0.46
