Mã,Chỉ số,2020,2021,2022,2023,2024
VNM,Chu kỳ tiền,41.11,48.56,47.05,20.51,NaN
VNM,ROA (%),24.39,21.04,17.12,38.41,NaN
VNM,ROE (%),35.46,30.6,24.98,54.97,NaN
VNM,ROIC (%),28.49,23.61,20.33,45.33,NaN
VNM,Số ngày thanh toán bình quân,39.09,39.05,43.01,21.82,NaN
VNM,Số ngày thu tiền bình quân,23.4,25.59,27.4,14.01,NaN
VNM,Số ngày tồn kho bình quân,56.8,62.03,62.66,28.33,NaN
VNM,Vòng quay TSCĐ,4.51,5.01,5.33,11.12,NaN
VNM,Vòng quay tài sản,1.28,1.2,1.18,2.49,NaN
